pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
48,ksoftirqd/5,0,30772,30775,16,30772,30775,30772,1923.4375,CFS,cfs_1
84,ksoftirqd/11,0,44000,44004,15,44000,44004,44000,2933.6,CFS,cfs_1
82,idle_inject/11,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
73,kworker/9:0-events,0,16541,16543,10,16541,16543,16541,1654.3,CFS,cfs_1
81,cpuhp/11,0,0,1,2,0,1,0,0.5,FIFO,fifo_1
78,ksoftirqd/10,0,43993,43997,19,43993,43997,43993,2315.6315789473683,CFS,cfs_1
77,migration/10,0,0,251,252,0,251,0,0.996031746031746,FIFO,fifo_1
76,idle_inject/10,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
75,cpuhp/10,0,1,3,3,1,3,1,1.0,FIFO,fifo_1
74,kworker/9:0H-kblockd,0,27102,27148,182,27102,27148,27102,149.16483516483515,CFS,cfs_1
87,cpuhp/12,0,1,2,2,1,2,1,1.0,FIFO,fifo_1
65,migration/8,0,2,255,254,2,255,2,1.0039370078740157,FIFO,fifo_1
64,idle_inject/8,0,3,3,1,3,3,3,3.0,FIFO,fifo_1
63,cpuhp/8,0,4,4,1,4,4,4,4.0,FIFO,fifo_1
60,ksoftirqd/7,0,30706,30711,22,30706,30711,30706,1395.9545454545455,CFS,cfs_1
59,migration/7,0,4,252,249,4,252,4,1.0120481927710843,FIFO,fifo_1
58,idle_inject/7,0,5,5,1,5,5,5,5.0,FIFO,fifo_1
57,cpuhp/7,0,16538,16538,2,16538,16538,16538,8269.0,CFS,cfs_1
56,kworker/6:0H-events_highpri,0,26548,26549,6,26548,26549,26548,4424.833333333333,CFS,cfs_1
6,kworker/R-slub_,0,1625,1625,1,1625,1625,1625,1625.0,CFS,cfs_1
19,idle_inject/0,0,6,6,1,6,6,6,6.0,FIFO,fifo_1
18,migration/0,0,7,31,25,7,31,7,1.24,FIFO,fifo_1
17,rcu_preempt,0,29181,29472,1164,29181,29472,29181,25.31958762886598,CFS,cfs_1
16,ksoftirqd/0,0,30313,30316,14,30313,30316,30313,2165.4285714285716,CFS,cfs_1
15,rcu_tasks_trace_kthread,0,8677,8677,4,8677,8677,8677,2169.25,CFS,cfs_1
14,rcu_tasks_rude_kthread,0,32,32,1,32,32,32,32.0,FIFO,fifo_1
12,kworker/R-mm_pe,0,4727,4728,3,4727,4728,4727,1576.0,CFS,cfs_1
