pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
48,ksoftirqd/5,0,30601,30605,16,30601,30605,30601,1912.8125,CFS,cfs_1
84,ksoftirqd/11,0,43830,43833,15,43830,43833,43830,2922.2,CFS,cfs_1
82,idle_inject/11,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
73,kworker/9:0-events,0,16119,16121,10,16119,16121,16119,1612.1,CFS,cfs_1
81,cpuhp/11,0,11728,11728,2,11728,11728,11728,5864.0,CFS,cfs_1
78,ksoftirqd/10,0,43822,43827,19,43822,43827,43822,2306.684210526316,CFS,cfs_1
77,migration/10,0,0,251,252,0,251,0,0.996031746031746,FIFO,fifo_1
76,idle_inject/10,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
75,cpuhp/10,0,11729,11729,3,11729,11729,11729,3909.6666666666665,CFS,cfs_1
74,kworker/9:0H-kblockd,0,26928,26973,182,26928,26973,26928,148.2032967032967,CFS,cfs_1
87,cpuhp/12,0,11729,11730,2,11729,11730,11729,5865.0,CFS,cfs_1
65,migration/8,0,0,253,254,0,253,0,0.9960629921259843,FIFO,fifo_1
64,idle_inject/8,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
63,cpuhp/8,0,11728,11728,1,11728,11728,11728,11728.0,CFS,cfs_1
60,ksoftirqd/7,0,30536,30541,22,30536,30541,30536,1388.2272727272727,CFS,cfs_1
59,migration/7,0,1,249,249,1,249,1,1.0,FIFO,fifo_1
58,idle_inject/7,0,2,2,1,2,2,2,2.0,FIFO,fifo_1
57,cpuhp/7,0,16114,16114,2,16114,16114,16114,8057.0,CFS,cfs_1
56,kworker/6:0H-events_highpri,0,26371,26373,6,26371,26373,26371,4395.5,CFS,cfs_1
6,kworker/R-slub_,0,1177,1177,1,1177,1177,1177,1177.0,CFS,cfs_1
19,idle_inject/0,0,3,3,1,3,3,3,3.0,FIFO,fifo_1
18,migration/0,0,4,28,25,4,28,4,1.12,FIFO,fifo_1
17,rcu_preempt,0,29011,29302,1164,29011,29302,29011,25.173539518900345,CFS,cfs_1
16,ksoftirqd/0,0,30142,30146,14,30142,30146,30142,2153.285714285714,CFS,cfs_1
15,rcu_tasks_trace_kthread,0,8239,8240,4,8239,8240,8239,2060.0,CFS,cfs_1
14,rcu_tasks_rude_kthread,0,1437,1437,1,1437,1437,1437,1437.0,CFS,cfs_1
12,kworker/R-mm_pe,0,4289,4290,3,4289,4290,4289,1430.0,CFS,cfs_1
21,cpuhp/1,0,16111,16113,9,16111,16113,16111,1790.3333333333333,CFS,cfs_1
7,kworker/R-netns,0,1374,1374,1,1374,1374,1374,1374.0,CFS,cfs_1
54,ksoftirqd/6,0,30086,30089,11,30086,30089,30086,2735.3636363636365,CFS,cfs_1
5,kworker/R-rcu_p,0,26397,26398,5,26397,26398,26397,5279.6,CFS,cfs_1
4,kworker/R-rcu_g,0,1076,1076,1,1076,1076,1076,1076.0,CFS,cfs_1
3,pool_workqueue_release,0,8239,8239,1,8239,8239,8239,8239.0,CFS,cfs_1
83,migration/11,0,29,280,252,29,280,29,1.1111111111111112,FIFO,fifo_1
93,cpuhp/13,0,11727,11727,2,11727,11727,11727,5863.5,CFS,cfs_1
90,ksoftirqd/12,0,30460,30464,17,30460,30464,30460,1792.0,CFS,cfs_1
89,migration/12,0,250,498,249,250,498,250,2.0,FIFO,fifo_1
88,idle_inject/12,0,252,252,1,252,252,252,252.0,FIFO,fifo_1
399,kworker/R-scsi_,0,10934,10934,1,10934,10934,10934,10934.0,CFS,cfs_1
2,kthreadd,0,30483,30492,39,30483,30492,30483,781.8461538461538,CFS,cfs_1
189,irq/50-pciehp,0,253,253,1,253,253,253,253.0,FIFO,fifo_1
95,migration/13,0,254,496,243,254,496,254,2.0411522633744856,FIFO,fifo_1
69,cpuhp/9,0,16107,16108,5,16107,16108,16107,3221.6,CFS,cfs_1
66,ksoftirqd/8,0,29736,29739,13,29736,29739,29736,2287.6153846153848,CFS,cfs_1
402,scsi_eh_22,0,11571,11572,7,11571,11572,11571,1653.142857142857,CFS,cfs_1
411,kworker/R-scsi_,0,11117,11117,1,11117,11117,11117,11117.0,CFS,cfs_1
401,kworker/R-scsi_,0,11110,11110,1,11110,11110,11110,11110.0,CFS,cfs_1
400,scsi_eh_21,0,11723,11723,1,11723,11723,11723,11723.0,CFS,cfs_1
1001,avahi-daemon,0,3427,3459,127,3427,3459,3427,27.236220472440944,CFS,cfs_1
398,scsi_eh_20,0,11726,11726,1,11726,11726,11726,11726.0,CFS,cfs_1
397,kworker/R-scsi_,0,11112,11112,1,11112,11112,11112,11112.0,CFS,cfs_1
396,scsi_eh_19,0,11574,11574,1,11574,11574,11574,11574.0,CFS,cfs_1
410,scsi_eh_26,0,8242,8242,1,8242,8242,8242,8242.0,CFS,cfs_1
412,scsi_eh_27,0,10933,10933,1,10933,10933,10933,10933.0,CFS,cfs_1
190,irq/51-pciehp,0,254,254,1,254,254,254,254.0,FIFO,fifo_1
421,kworker/R-scsi_,0,11719,11719,1,11719,11719,11719,11719.0,CFS,cfs_1
467,kworker/u270:2-events_power_efficient,0,26849,26856,28,26849,26856,26849,959.1428571428571,CFS,cfs_1
422,scsi_eh_32,0,11724,11725,7,11724,11725,11724,1675.0,CFS,cfs_1
53,migration/6,0,255,496,242,255,496,255,2.049586776859504,FIFO,fifo_1
52,idle_inject/6,0,281,281,1,281,281,281,281.0,FIFO,fifo_1
51,cpuhp/6,0,16109,16109,1,16109,16109,16109,16109.0,CFS,cfs_1
50,kworker/5:0H-kblockd,0,28634,28727,370,28634,28727,28634,77.64054054054054,CFS,cfs_1
70,idle_inject/9,0,282,282,1,282,282,282,282.0,FIFO,fifo_1
71,migration/9,0,283,529,247,283,529,283,2.1417004048582995,FIFO,fifo_1
72,ksoftirqd/9,0,30424,30432,31,30424,30432,30424,981.6774193548387,CFS,cfs_1
423,kworker/R-scsi_,0,11574,11574,1,11574,11574,11574,11574.0,CFS,cfs_1
13,rcu_tasks_kthread,0,1437,1437,1,1437,1437,1437,1437.0,CFS,cfs_1
420,scsi_eh_31,0,11726,11727,2,11726,11727,11726,5863.5,CFS,cfs_1
413,kworker/R-scsi_,0,11726,11726,1,11726,11726,11726,11726.0,CFS,cfs_1
419,kworker/R-scsi_,0,11113,11113,1,11113,11113,11113,11113.0,CFS,cfs_1
418,scsi_eh_30,0,9670,9670,2,9670,9670,9670,4835.0,CFS,cfs_1
417,kworker/R-scsi_,0,9670,9670,1,9670,9670,9670,9670.0,CFS,cfs_1
416,scsi_eh_29,0,11573,11573,1,11573,11573,11573,11573.0,CFS,cfs_1
415,kworker/R-scsi_,0,8846,8846,1,8846,8846,8846,8846.0,CFS,cfs_1
414,scsi_eh_28,0,11116,11116,1,11116,11116,11116,11116.0,CFS,cfs_1
152,kworker/R-edac-,0,1061,1061,1,1061,1061,1061,1061.0,CFS,cfs_1
112,kworker/u258:0-events_unbound,0,28772,28778,23,28772,28778,28772,1251.2173913043478,CFS,cfs_1
119,kworker/u265:0-events_unbound,0,28575,28584,37,28575,28584,28575,772.5405405405405,CFS,cfs_1
118,kworker/u264:0-writeback,0,29304,29727,1693,29304,29727,29304,17.558771411695215,CFS,cfs_1
117,kworker/u263:0-flush-8:0,0,28836,28838,8,28836,28838,28836,3604.75,CFS,cfs_1
116,kworker/u262:0-events_power_efficient,0,30561,30600,156,30561,30600,30561,196.15384615384616,CFS,cfs_1
159,ecryptfs-kthread,0,1073,1073,1,1073,1073,1073,1073.0,CFS,cfs_1
158,kswapd0,0,28384,28433,197,28384,28433,28384,144.32994923857868,CFS,cfs_1
154,watchdogd,0,497,497,1,497,497,497,497.0,FIFO,fifo_1
153,kworker/R-devfr,0,1062,1062,1,1062,1062,1062,1062.0,CFS,cfs_1
148,kworker/R-tpm_d,0,974,974,1,974,974,974,974.0,CFS,cfs_1
151,kworker/R-md_bi,0,1046,1046,1,1046,1046,1046,1046.0,CFS,cfs_1
170,irq/32-pciehp,0,497,497,1,497,497,497,497.0,FIFO,fifo_1
171,irq/33-pciehp,0,498,498,1,498,498,498,498.0,FIFO,fifo_1
172,irq/34-pciehp,0,498,498,1,498,498,498,498.0,FIFO,fifo_1
181,irq/43-pciehp,0,499,499,1,499,499,499,499.0,FIFO,fifo_1
187,kworker/u260:1-flush-8:0,0,28442,28466,96,28442,28466,28442,296.5208333333333,CFS,cfs_1
186,irq/48-pciehp,0,499,499,1,499,499,499,499.0,FIFO,fifo_1
185,irq/47-pciehp,0,499,499,1,499,499,499,499.0,FIFO,fifo_1
173,irq/35-pciehp,0,500,500,1,500,500,500,500.0,FIFO,fifo_1
100,idle_inject/14,0,500,500,1,500,500,500,500.0,FIFO,fifo_1
124,kworker/u270:0-writeback,0,30149,30162,51,30149,30162,30149,591.4117647058823,CFS,cfs_1
126,kworker/u272:0-events_unbound,0,11574,11575,5,11574,11575,11574,2315.0,CFS,cfs_1
147,kworker/7:1-events,0,30541,30561,79,30541,30561,30541,386.8481012658228,CFS,cfs_1
136,kcompactd0,0,29764,30008,975,29764,30008,29764,30.777435897435897,CFS,cfs_1
144,irq/9-acpi,0,500,500,1,500,500,500,500.0,FIFO,fifo_1
143,kworker/R-blkcg,0,1038,1038,1,1038,1038,1038,1038.0,CFS,cfs_1
180,irq/42-pciehp,0,501,501,1,501,501,501,501.0,FIFO,fifo_1
184,irq/46-pciehp,0,501,501,1,501,501,501,501.0,FIFO,fifo_1
179,irq/41-pciehp,0,501,501,1,501,501,501,501.0,FIFO,fifo_1
178,irq/40-pciehp,0,502,502,1,502,502,502,502.0,FIFO,fifo_1
177,irq/39-pciehp,0,502,502,1,502,502,502,502.0,FIFO,fifo_1
176,irq/38-pciehp,0,502,502,1,502,502,502,502.0,FIFO,fifo_1
175,irq/37-pciehp,0,503,503,1,503,503,503,503.0,FIFO,fifo_1
174,irq/36-pciehp,0,503,503,1,503,503,503,503.0,FIFO,fifo_1
150,kworker/R-md,0,1059,1059,1,1059,1059,1059,1059.0,CFS,cfs_1
149,kworker/R-ata_s,0,1052,1052,1,1052,1052,1052,1052.0,CFS,cfs_1
36,ksoftirqd/3,0,29008,29011,12,29008,29011,29008,2417.5833333333335,CFS,cfs_1
1003,dbus-daemon,0,1753,1857,418,1753,1857,1753,4.442583732057416,CFS,cfs_1
20,cpuhp/0,0,16107,16107,2,16107,16107,16107,8053.5,CFS,cfs_1
22,idle_inject/1,0,503,503,1,503,503,503,503.0,FIFO,fifo_1
45,cpuhp/5,0,16109,16109,2,16109,16109,16109,8054.5,CFS,cfs_1
34,idle_inject/3,0,504,504,1,504,504,504,504.0,FIFO,fifo_1
42,ksoftirqd/4,0,30387,30391,19,30387,30391,30387,1599.5263157894738,CFS,cfs_1
2197,gsd-rfkill,0,1424,1437,50,1424,1437,1424,28.74,CFS,cfs_1
40,idle_inject/4,0,504,504,1,504,504,504,504.0,FIFO,fifo_1
39,cpuhp/4,0,16110,16110,2,16110,16110,16110,8055.0,CFS,cfs_1
160,kworker/R-kthro,0,5190,5192,9,5190,5192,5190,576.8888888888889,CFS,cfs_1
35,migration/3,0,504,757,254,504,757,504,2.9803149606299213,FIFO,fifo_1
33,cpuhp/3,0,16107,16107,1,16107,16107,16107,16107.0,CFS,cfs_1
23,migration/1,0,505,744,240,505,744,505,3.1,FIFO,fifo_1
32,kworker/2:0H-kblockd,0,28466,28535,277,28466,28535,28466,103.014440433213,CFS,cfs_1
30,ksoftirqd/2,0,30529,30533,17,30529,30533,30529,1796.0588235294117,CFS,cfs_1
29,migration/2,0,505,753,249,505,753,505,3.0240963855421685,FIFO,fifo_1
47,migration/5,0,530,777,248,530,777,530,3.1330645161290325,FIFO,fifo_1
46,idle_inject/5,0,745,745,1,745,745,745,745.0,FIFO,fifo_1
99,cpuhp/14,0,11728,11728,1,11728,11728,11728,11728.0,CFS,cfs_1
183,irq/45-pciehp,0,746,746,1,746,746,746,746.0,FIFO,fifo_1
182,irq/44-pciehp,0,747,747,1,747,747,747,747.0,FIFO,fifo_1
28,idle_inject/2,0,748,748,1,748,748,748,748.0,FIFO,fifo_1
27,cpuhp/2,0,11727,11727,1,11727,11727,11727,11727.0,CFS,cfs_1
24,ksoftirqd/1,0,28815,28825,40,28815,28825,28815,720.625,CFS,cfs_1
94,idle_inject/13,0,749,749,1,749,749,749,749.0,FIFO,fifo_1
96,ksoftirqd/13,0,30162,30165,12,30162,30165,30162,2513.75,CFS,cfs_1
188,irq/49-pciehp,0,750,750,1,750,750,750,750.0,FIFO,fifo_1
463,kworker/u268:1-events_unbound,0,27078,27114,147,27078,27114,27078,184.44897959183675,CFS,cfs_1
169,irq/31-pciehp,0,751,757,7,751,757,751,108.14285714285714,FIFO,fifo_1
168,irq/30-pciehp,0,754,754,1,754,754,754,754.0,FIFO,fifo_1
167,irq/29-pciehp,0,755,755,1,755,755,755,755.0,FIFO,fifo_1
166,irq/28-pciehp,0,756,756,1,756,756,756,756.0,FIFO,fifo_1
165,irq/27-pciehp,0,757,757,1,757,757,757,757.0,FIFO,fifo_1
164,irq/26-pciehp,0,758,758,1,758,758,758,758.0,FIFO,fifo_1
162,irq/25-pciehp,0,758,758,1,758,758,758,758.0,FIFO,fifo_1
161,irq/24-pciehp,0,758,758,1,758,758,758,758.0,FIFO,fifo_1
366,kworker/R-scsi_,0,10933,10933,1,10933,10933,10933,10933.0,CFS,cfs_1
379,scsi_eh_11,0,11720,11722,9,11720,11722,11720,1302.4444444444443,CFS,cfs_1
378,kworker/R-scsi_,0,11573,11573,1,11573,11573,11573,11573.0,CFS,cfs_1
377,scsi_eh_10,0,10935,10937,9,10935,10937,10935,1215.2222222222222,CFS,cfs_1
358,kworker/R-mpt_p,0,10934,10934,1,10934,10934,10934,10934.0,CFS,cfs_1
227,kworker/R-kstrp,0,2761,2761,1,2761,2761,2761,2761.0,CFS,cfs_1
347,kworker/u256:1-ext4-rsv-conversion,0,30012,30086,296,30012,30086,30012,101.64189189189189,CFS,cfs_1
369,scsi_eh_6,0,11110,11112,9,11110,11112,11110,1234.6666666666667,CFS,cfs_1
368,kworker/R-scsi_,0,11117,11117,1,11117,11117,11117,11117.0,CFS,cfs_1
364,kworker/R-scsi_,0,11573,11573,1,11573,11573,11573,11573.0,CFS,cfs_1
380,kworker/R-scsi_,0,10934,10934,1,10934,10934,10934,10934.0,CFS,cfs_1
365,scsi_eh_4,0,16113,16113,3,16113,16113,16113,5371.0,CFS,cfs_1
374,kworker/R-scsi_,0,8658,8658,1,8658,8658,8658,8658.0,CFS,cfs_1
363,scsi_eh_3,0,16125,16127,9,16125,16127,16125,1791.888888888889,CFS,cfs_1
362,kworker/R-scsi_,0,9669,9669,1,9669,9669,9669,9669.0,CFS,cfs_1
361,scsi_eh_2,0,8240,8240,1,8240,8240,8240,8240.0,CFS,cfs_1
360,kworker/u267:1-events_unbound,0,28825,28834,36,28825,28834,28825,800.9444444444445,CFS,cfs_1
359,kworker/R-mpt/0,0,11117,11117,1,11117,11117,11117,11117.0,CFS,cfs_1
391,kworker/R-scsi_,0,11725,11725,1,11725,11725,11725,11725.0,CFS,cfs_1
389,kworker/R-scsi_,0,11568,11568,1,11568,11568,11568,11568.0,CFS,cfs_1
218,kworker/2:2-events,0,27048,27048,1,27048,27048,27048,27048.0,CFS,cfs_1
196,kworker/u258:1-events_unbound,0,26998,27017,79,26998,27017,26998,341.9873417721519,CFS,cfs_1
194,irq/55-pciehp,0,759,759,1,759,759,759,759.0,FIFO,fifo_1
193,irq/54-pciehp,0,759,759,1,759,759,759,759.0,FIFO,fifo_1
192,irq/53-pciehp,0,759,759,1,759,759,759,759.0,FIFO,fifo_1
191,irq/52-pciehp,0,760,762,3,760,762,760,254.0,FIFO,fifo_1
393,kworker/R-scsi_,0,11120,11120,1,11120,11120,11120,11120.0,CFS,cfs_1
216,kworker/R-ipv6_,0,1459,1459,1,1459,1459,1459,1459.0,CFS,cfs_1
375,scsi_eh_9,0,11568,11569,5,11568,11569,11568,2313.8,CFS,cfs_1
388,scsi_eh_15,0,11722,11723,6,11722,11723,11722,1953.8333333333333,CFS,cfs_1
387,kworker/R-scsi_,0,9669,9669,1,9669,9669,9669,9669.0,CFS,cfs_1
386,scsi_eh_14,0,8240,8242,9,8240,8242,8240,915.7777777777778,CFS,cfs_1
385,kworker/R-scsi_,0,9668,9668,1,9668,9668,9668,9668.0,CFS,cfs_1
384,scsi_eh_13,0,11113,11114,4,11113,11114,11113,2778.5,CFS,cfs_1
383,kworker/u271:2-flush-8:0,0,26373,26396,95,26373,26396,26373,277.85263157894735,CFS,cfs_1
382,kworker/R-scsi_,0,11109,11109,1,11109,11109,11109,11109.0,CFS,cfs_1
381,scsi_eh_12,0,11117,11119,9,11117,11119,11117,1235.4444444444443,CFS,cfs_1
2233,gsd-sound,0,1440,1459,78,1440,1459,1440,18.705128205128204,CFS,cfs_1
2460,xdg-desktop-portal-gnome,0,3282,3367,341,3282,3367,3282,9.873900293255131,CFS,cfs_1
2446,xdg-desktop-portal,0,3367,3427,240,3367,3427,3367,14.279166666666667,CFS,cfs_1
2443,tracker-miner-fs-3,0,194586,199847,5262,194586,199847,194586,37.97928544279741,IDLE,idle
2413,Xwayland,0,11575,11719,575,11575,11719,11575,20.38086956521739,CFS,cfs_1
2412,ibus-engine-simple,0,6500,6532,130,6500,6532,6500,50.246153846153845,CFS,cfs_1
1,systemd,0,7827,8238,1645,7827,8238,7827,5.00790273556231,CFS,cfs_1
3864,kworker/u277:3,0,26418,26418,1,26418,26418,26418,26418.0,CFS,cfs_1
2569,kworker/u279:4-ttm,0,27077,27077,2,27077,27077,27077,13538.5,CFS,cfs_1
2297,gsd-printer,0,4426,4442,65,4426,4442,4426,68.33846153846154,CFS,cfs_1
2477,gjs,0,5979,5990,45,5979,5990,5979,133.11111111111111,CFS,cfs_1
2155,gsd-keyboard,0,1460,1528,276,1460,1528,1460,5.536231884057971,CFS,cfs_1
2159,gsd-media-keys,0,1858,1937,317,1858,1937,1858,6.110410094637224,CFS,cfs_1
2166,gsd-power,0,3587,3691,414,3587,3691,3587,8.915458937198068,CFS,cfs_1
2177,evolution-alarm-notify,0,16945,17095,602,16945,17095,16945,28.397009966777407,CFS,cfs_1
2181,ibus-dconf,0,5178,5190,51,5178,5190,5178,101.76470588235294,CFS,cfs_1
2183,gsd-print-notifications,0,1388,1412,98,1388,1412,1388,14.408163265306122,CFS,cfs_1
2246,gsd-wacom,0,1076,1173,318,1076,1173,1076,3.688679245283019,CFS,cfs_1
2187,ibus-extension-gtk3,0,6555,6813,1033,6555,6813,6555,6.595353339787028,CFS,cfs_1
2221,gsd-disk-utility-notify,0,6532,6554,89,6532,6554,6532,73.64044943820225,CFS,cfs_1
376,kworker/R-scsi_,0,9669,9669,1,9669,9669,9669,9669.0,CFS,cfs_1
348,kworker/13:2-mm_percpu_wq,0,30165,30186,85,30165,30186,30165,355.1294117647059,CFS,cfs_1
390,scsi_eh_16,0,11114,11116,8,11114,11116,11114,1389.5,CFS,cfs_1
367,scsi_eh_5,0,11726,11726,1,11726,11726,11726,11726.0,CFS,cfs_1
373,scsi_eh_8,0,10937,10937,1,10937,10937,10937,10937.0,CFS,cfs_1
372,kworker/R-scsi_,0,11120,11120,1,11120,11120,11120,11120.0,CFS,cfs_1
371,scsi_eh_7,0,11569,11570,5,11569,11570,11569,2314.0,CFS,cfs_1
370,kworker/R-scsi_,0,9668,9668,1,9668,9668,9668,9668.0,CFS,cfs_1
198,kworker/R-acpi_,0,1044,1044,1,1044,1044,1044,1044.0,CFS,cfs_1
2219,gsd-sharing,0,975,1040,114,975,1040,975,9.12280701754386,CFS,cfs_1
2208,gsd-screensaver-proxy,0,1412,1424,49,1412,1424,1412,29.06122448979592,CFS,cfs_1
2203,ibus-portal,0,8313,8344,125,8313,8344,8313,66.752,CFS,cfs_1
2538,kworker/u283:5-ttm,0,28270,28272,8,28270,28272,28270,3534.0,CFS,cfs_1
2533,kworker/u284:1-ttm,0,27025,27025,2,27025,27025,27025,13512.5,CFS,cfs_1
2530,kworker/u283:3-ttm,0,28272,28272,1,28272,28272,28272,28272.0,CFS,cfs_1
2484,kworker/u269:3-flush-8:0,0,28272,28369,387,28272,28369,28272,73.30490956072352,CFS,cfs_1
2394,snapd-desktop-integration,0,5144,5177,136,5144,5177,5144,38.06617647058823,CFS,cfs_1
997,accounts-daemon,0,5922,5952,121,5922,5952,5922,49.1900826446281,CFS,cfs_1
597,kworker/14:2H-kblockd,0,28585,28631,184,28585,28631,28585,155.60326086956522,CFS,cfs_1
594,kworker/u272:2-flush-8:0,0,26437,26519,329,26437,26519,26437,80.6048632218845,CFS,cfs_1
584,kworker/7:3-events,0,26426,26436,42,26426,26436,26426,629.4285714285714,CFS,cfs_1
583,kworker/9:2-mm_percpu_wq,0,30432,30448,66,30432,30448,30432,461.3333333333333,CFS,cfs_1
755,kworker/11:2-events,0,43838,43892,215,43838,43892,43838,204.14883720930231,CFS,cfs_1
773,kworker/u259:3-events_power_efficient,0,26861,26868,30,26861,26868,26861,895.6,CFS,cfs_1
791,kworker/u263:4-events_unbound,0,30008,30012,17,30008,30012,30008,1765.4117647058824,CFS,cfs_1
947,VGAuthService,0,5243,5257,57,5243,5257,5243,92.2280701754386,CFS,cfs_1
998,acpid,0,3006,3028,44,3006,3028,3006,68.81818181818181,CFS,cfs_1
404,scsi_eh_23,0,11112,11112,1,11112,11112,11112,11112.0,CFS,cfs_1
953,kworker/2:2H-kblockd,0,26407,26408,5,26407,26408,26407,5281.6,CFS,cfs_1
952,kworker/4:3-events,0,30391,30412,83,30391,30412,30391,366.4096385542169,CFS,cfs_1
951,kworker/3:2H-kblockd,0,26420,26421,2,26420,26421,26420,13210.5,CFS,cfs_1
949,vmtoolsd,0,9671,10933,5050,9671,10933,9671,2.164950495049505,CFS,cfs_1
942,systemd-timesyncd,0,2276,2306,120,2276,2306,2276,19.216666666666665,CFS,cfs_1
