pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
65,migration/8,0,0,303,304,0,303,0,0.9967105263157895,FIFO,fifo_1
4,kworker/R-rcu_g,0,7754,7754,1,7754,7754,7754,7754.0,CFS,cfs_1
3,pool_workqueue_release,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
2,kthreadd,0,8033,8037,20,8033,8037,8033,401.85,CFS,cfs_1
71,migration/9,0,0,304,305,0,304,0,0.9967213114754099,FIFO,fifo_1
70,idle_inject/9,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
69,cpuhp/9,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
68,kworker/8:0H-events_highpri,0,7776,7776,1,7776,7776,7776,7776.0,CFS,cfs_1
67,kworker/8:0-cgroup_destroy,0,7847,7853,22,7847,7853,7847,356.95454545454544,CFS,cfs_1
66,ksoftirqd/8,0,7870,7870,1,7870,7870,7870,7870.0,CFS,cfs_1
5,kworker/R-rcu_p,0,7762,7762,4,7762,7762,7762,1940.5,CFS,cfs_1
64,idle_inject/8,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
63,cpuhp/8,0,2,2,1,2,2,2,2.0,FIFO,fifo_1
62,kworker/7:0H-kblockd,0,8024,8025,5,8024,8025,8024,1605.0,CFS,cfs_1
61,kworker/7:0-events,0,2,2,1,2,2,2,2.0,FIFO,fifo_1
60,ksoftirqd/7,0,8098,8098,1,8098,8098,8098,8098.0,CFS,cfs_1
59,migration/7,0,3,309,307,3,309,3,1.006514657980456,FIFO,fifo_1
58,idle_inject/7,0,3,3,1,3,3,3,3.0,FIFO,fifo_1
38,kworker/3:0H-kblockd,0,7943,7943,1,7943,7943,7943,7943.0,CFS,cfs_1
14,rcu_tasks_rude_kthread,0,4,4,1,4,4,4,4.0,FIFO,fifo_1
29,migration/2,0,5,305,301,5,305,5,1.0132890365448506,FIFO,fifo_1
28,idle_inject/2,0,304,304,1,304,304,304,304.0,FIFO,fifo_1
27,cpuhp/2,0,305,306,2,305,306,305,153.0,FIFO,fifo_1
26,kworker/1:0H-kblockd,0,8451,8463,52,8451,8463,8451,162.75,CFS,cfs_1
25,kworker/1:0-events,0,8475,8477,8,8475,8477,8475,1059.625,CFS,cfs_1
24,ksoftirqd/1,0,8450,8450,1,8450,8450,8450,8450.0,CFS,cfs_1
74,kworker/9:0H-kblockd,0,8151,8152,4,8151,8152,8151,2038.0,CFS,cfs_1
17,rcu_preempt,0,8422,8448,104,8422,8448,8422,81.23076923076923,CFS,cfs_1
15,rcu_tasks_trace_kthread,0,3422,3423,4,3422,3423,3422,855.75,CFS,cfs_1
36,ksoftirqd/3,0,8068,8068,2,8068,8068,8068,4034.0,CFS,cfs_1
13,rcu_tasks_kthread,0,305,305,1,305,305,305,305.0,FIFO,fifo_1
12,kworker/R-mm_pe,0,7804,7804,1,7804,7804,7804,7804.0,CFS,cfs_1
11,kworker/u256:0-ext4-rsv-conversion,0,8411,8415,18,8411,8415,8411,467.5,CFS,cfs_1
10,kworker/0:0H-events_highpri,0,7807,7807,1,7807,7807,7807,7807.0,CFS,cfs_1
9,kworker/0:1-rcu_gp,0,306,306,1,306,306,306,306.0,FIFO,fifo_1
8,kworker/0:0-rcu_par_gp,0,8094,8098,17,8094,8098,8094,476.3529411764706,CFS,cfs_1
7,kworker/R-netns,0,1396,1396,1,1396,1396,1396,1396.0,CFS,cfs_1
6,kworker/R-slub_,0,1396,1396,1,1396,1396,1396,1396.0,CFS,cfs_1
53,migration/6,0,306,609,304,306,609,306,2.0032894736842106,FIFO,fifo_1
331,kworker/14:1H-kblockd,0,8513,8522,37,8513,8522,8513,230.32432432432432,CFS,cfs_1
330,kworker/7:1H-kblockd,0,8025,8031,23,8025,8031,8025,349.17391304347825,CFS,cfs_1
329,kworker/0:1H-kblockd,0,8349,8355,23,8349,8355,8349,363.2608695652174,CFS,cfs_1
328,kworker/3:1H-kblockd,0,7777,7789,49,7777,7789,7777,158.9591836734694,CFS,cfs_1
327,kworker/5:1H-kblockd,0,7702,7702,1,7702,7702,7702,7702.0,CFS,cfs_1
398,scsi_eh_19,0,4991,4992,3,4991,4992,4991,1664.0,CFS,cfs_1
77,migration/10,0,307,611,305,307,611,307,2.00327868852459,FIFO,fifo_1
151,kworker/2:1-cgroup_destroy,0,7995,7997,9,7995,7997,7995,888.5555555555555,CFS,cfs_1
55,kworker/6:0-rcu_gp,0,8084,8089,19,8084,8089,8084,425.7368421052632,CFS,cfs_1
332,kworker/2:1H,0,7871,7871,1,7871,7871,7871,7871.0,CFS,cfs_1
52,idle_inject/6,0,307,307,1,307,307,307,307.0,FIFO,fifo_1
51,cpuhp/6,0,308,309,2,308,309,308,154.5,FIFO,fifo_1
50,kworker/5:0H-events_highpri,0,7806,7806,1,7806,7806,7806,7806.0,CFS,cfs_1
239,kworker/u285:0,0,4990,4990,1,4990,4990,4990,4990.0,CFS,cfs_1
238,kworker/u284:0-ttm,0,7789,7789,1,7789,7789,7789,7789.0,CFS,cfs_1
237,kworker/u283:0-ttm,0,8043,8043,1,8043,8043,8043,8043.0,CFS,cfs_1
236,kworker/u282:0,0,1669,1669,1,1669,1669,1669,1669.0,CFS,cfs_1
235,kworker/u281:0-ttm,0,8022,8024,7,8022,8024,8022,1146.2857142857142,CFS,cfs_1
40,idle_inject/4,0,310,310,1,310,310,310,310.0,FIFO,fifo_1
