pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
65,migration/8,0,0,303,304,0,303,0,0.9967105263157895,FIFO,fifo_1
4,kworker/R-rcu_g,0,7693,7693,1,7693,7693,7693,7693.0,CFS,cfs_1
3,pool_workqueue_release,0,3348,3348,1,3348,3348,3348,3348.0,CFS,cfs_1
2,kthreadd,0,7996,8001,20,7996,8001,7996,400.05,CFS,cfs_1
71,migration/9,0,0,304,305,0,304,0,0.9967213114754099,FIFO,fifo_1
70,idle_inject/9,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
69,cpuhp/9,0,7709,7709,1,7709,7709,7709,7709.0,CFS,cfs_1
68,kworker/8:0H-events_highpri,0,7726,7726,1,7726,7726,7726,7726.0,CFS,cfs_1
67,kworker/8:0-cgroup_destroy,0,7803,7808,22,7803,7808,7803,354.90909090909093,CFS,cfs_1
66,ksoftirqd/8,0,7826,7826,1,7826,7826,7826,7826.0,CFS,cfs_1
5,kworker/R-rcu_p,0,7709,7710,4,7709,7710,7709,1927.5,CFS,cfs_1
64,idle_inject/8,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
63,cpuhp/8,0,7692,7692,1,7692,7692,7692,7692.0,CFS,cfs_1
62,kworker/7:0H-kblockd,0,7983,7984,5,7983,7984,7983,1596.8,CFS,cfs_1
61,kworker/7:0-events,0,7704,7704,1,7704,7704,7704,7704.0,CFS,cfs_1
60,ksoftirqd/7,0,8062,8062,1,8062,8062,8062,8062.0,CFS,cfs_1
59,migration/7,0,1,307,307,1,307,1,1.0,FIFO,fifo_1
58,idle_inject/7,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
38,kworker/3:0H-kblockd,0,7900,7900,1,7900,7900,7900,7900.0,CFS,cfs_1
14,rcu_tasks_rude_kthread,0,1503,1503,1,1503,1503,1503,1503.0,CFS,cfs_1
29,migration/2,0,2,302,301,2,302,2,1.0033222591362125,FIFO,fifo_1
28,idle_inject/2,0,303,303,1,303,303,303,303.0,FIFO,fifo_1
27,cpuhp/2,0,7695,7696,2,7695,7696,7695,3848.0,CFS,cfs_1
26,kworker/1:0H-kblockd,0,8416,8429,52,8416,8429,8416,162.09615384615384,CFS,cfs_1
25,kworker/1:0-events,0,8440,8442,8,8440,8442,8440,1055.25,CFS,cfs_1
24,ksoftirqd/1,0,8416,8416,1,8416,8416,8416,8416.0,CFS,cfs_1
74,kworker/9:0H-kblockd,0,8116,8116,4,8116,8116,8116,2029.0,CFS,cfs_1
17,rcu_preempt,0,8387,8413,104,8387,8413,8387,80.89423076923077,CFS,cfs_1
15,rcu_tasks_trace_kthread,0,3352,3353,4,3352,3353,3352,838.25,CFS,cfs_1
36,ksoftirqd/3,0,8032,8032,2,8032,8032,8032,4016.0,CFS,cfs_1
13,rcu_tasks_kthread,0,1497,1497,1,1497,1497,1497,1497.0,CFS,cfs_1
12,kworker/R-mm_pe,0,7756,7756,1,7756,7756,7756,7756.0,CFS,cfs_1
11,kworker/u256:0-ext4-rsv-conversion,0,8376,8381,18,8376,8381,8376,465.6111111111111,CFS,cfs_1
10,kworker/0:0H-events_highpri,0,7761,7761,1,7761,7761,7761,7761.0,CFS,cfs_1
