pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
54,ksoftirqd/6,0,620628,620630,6,620628,620630,620628,103438.33333333333,CFS,cfs_1
65,migration/8,0,0,306,307,0,306,0,0.996742671009772,FIFO,fifo_1
64,idle_inject/8,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
63,cpuhp/8,0,24409,24409,1,24409,24409,24409,24409.0,CFS,cfs_1
40,idle_inject/4,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
60,ksoftirqd/7,0,619199,619201,10,619199,619201,619199,61920.1,CFS,cfs_1
58,idle_inject/7,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
57,cpuhp/7,0,24466,24466,3,24466,24466,24466,8155.333333333333,CFS,cfs_1
55,kworker/6:0-cgroup_destroy,0,620519,620524,19,620519,620524,620519,32659.157894736843,CFS,cfs_1
66,ksoftirqd/8,0,620499,620501,7,620499,620501,620499,88643.0,CFS,cfs_1
53,migration/6,0,1,306,306,1,306,1,1.0,FIFO,fifo_1
52,idle_inject/6,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
51,cpuhp/6,0,24465,24465,2,24465,24465,24465,12232.5,CFS,cfs_1
50,kworker/5:0H-kblockd,0,617042,617042,4,617042,617042,617042,154260.5,CFS,cfs_1
412,scsi_eh_26,0,20533,20533,1,20533,20533,20533,20533.0,CFS,cfs_1
411,kworker/R-scsi_,0,13786,13786,1,13786,13786,13786,13786.0,CFS,cfs_1
410,scsi_eh_25,0,14889,14889,2,14889,14889,14889,7444.5,CFS,cfs_1
409,kworker/R-scsi_,0,22426,22426,1,22426,22426,22426,22426.0,CFS,cfs_1
67,kworker/8:0-events,0,620484,620499,62,620484,620499,620484,10008.048387096775,CFS,cfs_1
69,cpuhp/9,0,24715,24715,1,24715,24715,24715,24715.0,CFS,cfs_1
70,idle_inject/9,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
71,migration/9,0,2,309,308,2,309,2,1.0032467532467533,FIFO,fifo_1
72,ksoftirqd/9,0,615983,615986,14,615983,615986,615983,43999.0,CFS,cfs_1
74,kworker/9:0H-kblockd,0,615949,615983,138,615949,615983,615949,4463.644927536232,CFS,cfs_1
75,cpuhp/10,0,24464,24464,2,24464,24464,24464,12232.0,CFS,cfs_1
76,idle_inject/10,0,2,2,1,2,2,2,2.0,FIFO,fifo_1
77,migration/10,0,3,315,313,3,315,3,1.0063897763578276,FIFO,fifo_1
41,migration/4,0,307,611,305,307,611,307,2.00327868852459,FIFO,fifo_1
405,kworker/R-scsi_,0,23019,23019,1,23019,23019,23019,23019.0,CFS,cfs_1
374,scsi_eh_8,0,20533,20533,1,20533,20533,20533,20533.0,CFS,cfs_1
388,scsi_eh_15,0,22428,22429,2,22428,22429,22428,11214.5,CFS,cfs_1
375,kworker/R-scsi_,0,22346,22347,4,22346,22347,22346,5586.75,CFS,cfs_1
376,scsi_eh_9,0,22427,22428,4,22427,22428,22427,5607.0,CFS,cfs_1
392,scsi_eh_16,0,22992,22993,4,22992,22993,22992,5748.25,CFS,cfs_1
176,irq/38-pciehp,0,307,307,1,307,307,307,307.0,FIFO,fifo_1
177,irq/39-pciehp,0,308,308,1,308,308,308,308.0,FIFO,fifo_1
178,irq/40-pciehp,0,309,309,1,309,309,309,309.0,FIFO,fifo_1
380,scsi_eh_11,0,23009,23010,8,23009,23010,23009,2876.25,CFS,cfs_1
381,kworker/R-scsi_,0,23011,23011,1,23011,23011,23011,23011.0,CFS,cfs_1
382,scsi_eh_12,0,22993,22994,3,22993,22994,22993,7664.666666666667,CFS,cfs_1
383,kworker/R-scsi_,0,20531,20531,1,20531,20531,20531,20531.0,CFS,cfs_1
384,scsi_eh_13,0,22988,22989,4,22988,22989,22988,5747.25,CFS,cfs_1
385,kworker/R-scsi_,0,22347,22347,1,22347,22347,22347,22347.0,CFS,cfs_1
386,scsi_eh_14,0,22426,22427,6,22426,22427,22426,3737.8333333333335,CFS,cfs_1
387,kworker/R-scsi_,0,14112,14112,2,14112,14112,14112,7056.0,CFS,cfs_1
389,kworker/R-mpt_p,0,23011,23011,1,23011,23011,23011,23011.0,CFS,cfs_1
404,scsi_eh_22,0,23019,23020,3,23019,23020,23019,7673.333333333333,CFS,cfs_1
390,kworker/R-scsi_,0,22939,22941,9,22939,22941,22939,2549.0,CFS,cfs_1
391,kworker/R-mpt/0,0,13786,13786,1,13786,13786,13786,13786.0,CFS,cfs_1
377,kworker/R-scsi_,0,14112,14112,2,14112,14112,14112,7056.0,CFS,cfs_1
393,kworker/R-scsi_,0,20531,20531,1,20531,20531,20531,20531.0,CFS,cfs_1
394,scsi_eh_17,0,310,317,8,310,317,310,39.625,FIFO,fifo_1
395,kworker/R-scsi_,0,22347,22347,1,22347,22347,22347,22347.0,CFS,cfs_1
396,scsi_eh_18,0,22990,22992,8,22990,22992,22990,2874.0,CFS,cfs_1
397,kworker/R-scsi_,0,14113,14113,2,14113,14113,14113,7056.5,CFS,cfs_1
398,scsi_eh_19,0,20889,20889,3,20889,20889,20889,6963.0,CFS,cfs_1
399,kworker/R-scsi_,0,23012,23012,1,23012,23012,23012,23012.0,CFS,cfs_1
400,scsi_eh_20,0,23638,23638,2,23638,23638,23638,11819.0,CFS,cfs_1
401,kworker/R-scsi_,0,20531,20531,1,20531,20531,20531,20531.0,CFS,cfs_1
403,kworker/R-scsi_,0,15430,15430,1,15430,15430,15430,15430.0,CFS,cfs_1
573,kworker/u267:2-events_unbound,0,618978,619151,694,618978,619151,618978,892.1484149855908,CFS,cfs_1
402,scsi_eh_21,0,22994,22994,2,22994,22994,22994,11497.0,CFS,cfs_1
373,kworker/R-scsi_,0,20888,20888,1,20888,20888,20888,20888.0,CFS,cfs_1
421,kworker/R-scsi_,0,23637,23637,1,23637,23637,23637,23637.0,CFS,cfs_1
408,scsi_eh_24,0,22348,22348,2,22348,22348,22348,11174.0,CFS,cfs_1
160,kworker/R-kthro,0,1124,1124,1,1124,1124,1124,1124.0,CFS,cfs_1
47,migration/5,0,310,617,308,310,617,310,2.0032467532467533,FIFO,fifo_1
48,ksoftirqd/5,0,618603,618615,48,618603,618615,618603,12887.8125,CFS,cfs_1
143,kworker/R-blkcg,0,1124,1124,1,1124,1124,1124,1124.0,CFS,cfs_1
144,irq/9-acpi,0,316,316,1,316,316,316,316.0,FIFO,fifo_1
145,kworker/R-tpm_d,0,1125,1125,1,1125,1125,1125,1125.0,CFS,cfs_1
146,kworker/R-ata_s,0,1125,1125,1,1125,1125,1125,1125.0,CFS,cfs_1
