pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
54,ksoftirqd/6,0,620615,620616,6,620615,620616,620615,103436.0,CFS,cfs_1
65,migration/8,0,0,306,307,0,306,0,0.996742671009772,FIFO,fifo_1
64,idle_inject/8,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
63,cpuhp/8,0,24341,24341,1,24341,24341,24341,24341.0,CFS,cfs_1
40,idle_inject/4,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
60,ksoftirqd/7,0,619179,619181,10,619179,619181,619179,61918.1,CFS,cfs_1
58,idle_inject/7,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
57,cpuhp/7,0,24400,24401,3,24400,24401,24400,8133.666666666667,CFS,cfs_1
55,kworker/6:0-cgroup_destroy,0,620506,620510,19,620506,620510,620506,32658.42105263158,CFS,cfs_1
66,ksoftirqd/8,0,620483,620484,7,620483,620484,620483,88640.57142857143,CFS,cfs_1
53,migration/6,0,1,306,306,1,306,1,1.0,FIFO,fifo_1
52,idle_inject/6,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
51,cpuhp/6,0,24398,24399,2,24398,24399,24398,12199.5,CFS,cfs_1
50,kworker/5:0H-kblockd,0,617018,617019,4,617018,617019,617018,154254.75,CFS,cfs_1
412,scsi_eh_26,0,20452,20452,1,20452,20452,20452,20452.0,CFS,cfs_1
411,kworker/R-scsi_,0,13705,13705,1,13705,13705,13705,13705.0,CFS,cfs_1
410,scsi_eh_25,0,14808,14809,2,14808,14809,14808,7404.5,CFS,cfs_1
409,kworker/R-scsi_,0,22350,22350,1,22350,22350,22350,22350.0,CFS,cfs_1
67,kworker/8:0-events,0,620467,620483,62,620467,620483,620467,10007.790322580646,CFS,cfs_1
69,cpuhp/9,0,24649,24649,1,24649,24649,24649,24649.0,CFS,cfs_1
70,idle_inject/9,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
71,migration/9,0,2,309,308,2,309,2,1.0032467532467533,FIFO,fifo_1
72,ksoftirqd/9,0,615958,615962,14,615958,615962,615958,43997.28571428572,CFS,cfs_1
74,kworker/9:0H-kblockd,0,615924,615958,138,615924,615958,615924,4463.463768115942,CFS,cfs_1
75,cpuhp/10,0,24397,24398,2,24397,24398,24397,12199.0,CFS,cfs_1
76,idle_inject/10,0,2,2,1,2,2,2,2.0,FIFO,fifo_1
77,migration/10,0,3,315,313,3,315,3,1.0063897763578276,FIFO,fifo_1
41,migration/4,0,307,611,305,307,611,307,2.00327868852459,FIFO,fifo_1
405,kworker/R-scsi_,0,22944,22944,1,22944,22944,22944,22944.0,CFS,cfs_1
374,scsi_eh_8,0,20452,20452,1,20452,20452,20452,20452.0,CFS,cfs_1
388,scsi_eh_15,0,22353,22353,2,22353,22353,22353,11176.5,CFS,cfs_1
375,kworker/R-scsi_,0,22269,22269,4,22269,22269,22269,5567.25,CFS,cfs_1
376,scsi_eh_9,0,22352,22353,4,22352,22353,22352,5588.25,CFS,cfs_1
392,scsi_eh_16,0,22918,22918,4,22918,22918,22918,5729.5,CFS,cfs_1
176,irq/38-pciehp,0,307,307,1,307,307,307,307.0,FIFO,fifo_1
177,irq/39-pciehp,0,308,308,1,308,308,308,308.0,FIFO,fifo_1
178,irq/40-pciehp,0,309,309,1,309,309,309,309.0,FIFO,fifo_1
380,scsi_eh_11,0,22934,22936,8,22934,22936,22934,2867.0,CFS,cfs_1
381,kworker/R-scsi_,0,22936,22936,1,22936,22936,22936,22936.0,CFS,cfs_1
382,scsi_eh_12,0,22919,22919,3,22919,22919,22919,7639.666666666667,CFS,cfs_1
383,kworker/R-scsi_,0,20450,20450,1,20450,20450,20450,20450.0,CFS,cfs_1
384,scsi_eh_13,0,22913,22914,4,22913,22914,22913,5728.5,CFS,cfs_1
385,kworker/R-scsi_,0,22270,22270,1,22270,22270,22270,22270.0,CFS,cfs_1
386,scsi_eh_14,0,22350,22352,6,22350,22352,22350,3725.3333333333335,CFS,cfs_1
387,kworker/R-scsi_,0,14031,14031,2,14031,14031,14031,7015.5,CFS,cfs_1
389,kworker/R-mpt_p,0,22937,22937,1,22937,22937,22937,22937.0,CFS,cfs_1
404,scsi_eh_22,0,22946,22946,3,22946,22946,22946,7648.666666666667,CFS,cfs_1
390,kworker/R-scsi_,0,22864,22866,9,22864,22866,22864,2540.6666666666665,CFS,cfs_1
391,kworker/R-mpt/0,0,13705,13705,1,13705,13705,13705,13705.0,CFS,cfs_1
377,kworker/R-scsi_,0,14031,14031,2,14031,14031,14031,7015.5,CFS,cfs_1
393,kworker/R-scsi_,0,20451,20451,1,20451,20451,20451,20451.0,CFS,cfs_1
394,scsi_eh_17,0,20809,20810,8,20809,20810,20809,2601.25,CFS,cfs_1
395,kworker/R-scsi_,0,22270,22270,1,22270,22270,22270,22270.0,CFS,cfs_1
396,scsi_eh_18,0,22915,22917,8,22915,22917,22915,2864.625,CFS,cfs_1
397,kworker/R-scsi_,0,14032,14032,2,14032,14032,14032,7016.0,CFS,cfs_1
398,scsi_eh_19,0,20811,20811,3,20811,20811,20811,6937.0,CFS,cfs_1
399,kworker/R-scsi_,0,22937,22937,1,22937,22937,22937,22937.0,CFS,cfs_1
400,scsi_eh_20,0,23569,23569,2,23569,23569,23569,11784.5,CFS,cfs_1
401,kworker/R-scsi_,0,20451,20451,1,20451,20451,20451,20451.0,CFS,cfs_1
403,kworker/R-scsi_,0,15350,15350,1,15350,15350,15350,15350.0,CFS,cfs_1
573,kworker/u267:2-events_unbound,0,618958,619131,694,618958,619131,618958,892.1195965417868,CFS,cfs_1
402,scsi_eh_21,0,22919,22920,2,22919,22920,22919,11460.0,CFS,cfs_1
