pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
1718,colord,0,2204,2211,27,2204,2211,2204,81.88888888888889,CFS,cfs_1
2005,gnome-shell-calendar-server,0,3829,3846,70,3829,3846,3829,54.94285714285714,CFS,cfs_1
1986,kworker/u279:1-ttm,0,9322,9322,1,9322,9322,9322,9322.0,CFS,cfs_1
1985,kworker/u276:3-ttm,0,23013,23013,1,23013,23013,23013,23013.0,CFS,cfs_1
1983,kworker/u283:1-ttm,0,9164,9165,3,9164,9165,9164,3055.0,CFS,cfs_1
1967,kworker/3:3-rcu_par_gp,0,9111,9113,11,9111,9113,9111,828.4545454545455,CFS,cfs_1
1964,dbus-daemon,0,23330,23333,12,23330,23333,23330,1944.4166666666667,CFS,cfs_1
1961,gnome-shell,0,5724,6738,4058,5724,6738,5724,1.6604238541153278,CFS,cfs_1
1059,cron,0,1939,1940,7,1939,1940,1939,277.14285714285717,CFS,cfs_1
1522,kworker/u276:1-ttm,0,23024,23024,1,23024,23024,23024,23024.0,CFS,cfs_1
1521,kworker/u280:1-ttm,0,8812,8812,1,8812,8812,8812,8812.0,CFS,cfs_1
1356,kerneloops,0,1675,1675,2,1675,1675,1675,837.5,CFS,cfs_1
1347,kerneloops,0,1387,1391,12,1387,1391,1387,115.91666666666667,CFS,cfs_1
1332,cups-browsed,0,1413,1417,15,1413,1417,1413,94.46666666666667,CFS,cfs_1
1303,rtkit-daemon,0,1529,1531,11,1529,1531,1529,139.1818181818182,CFS,cfs_1
1204,gdm3,0,2211,2219,32,2211,2219,2211,69.34375,CFS,cfs_1
1084,udisksd,0,2099,2117,74,2099,2117,2099,28.60810810810811,CFS,cfs_1
1082,systemd-logind,0,1626,1644,75,1626,1644,1626,21.92,CFS,cfs_1
1081,switcheroo-control,0,2223,2227,17,2223,2227,2223,131.0,CFS,cfs_1
1080,snapd,0,2259,2422,651,2259,2422,2259,3.7204301075268815,CFS,cfs_1
1076,rsyslogd,0,2029,2041,49,2029,2041,2029,41.6530612244898,CFS,cfs_1
1075,power-profiles-daemon,0,1460,1463,15,1460,1463,1460,97.53333333333333,CFS,cfs_1
1162,cupsd,0,1678,1683,20,1678,1683,1678,84.15,CFS,cfs_1
1839,gdm-wayland-session,0,0,4,5,0,4,0,0.8,FIFO,fifo_1
446,kworker/u271:28-writeback,0,9288,9291,12,9288,9291,9288,774.25,CFS,cfs_1
425,kworker/R-scsi_,0,3862,3862,1,3862,3862,3862,3862.0,CFS,cfs_1
423,scsi_eh_32,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
416,kworker/R-scsi_,0,6943,6943,1,6943,6943,6943,6943.0,CFS,cfs_1
415,scsi_eh_31,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
414,kworker/R-scsi_,0,3475,3475,1,3475,3475,3475,3475.0,CFS,cfs_1
1057,avahi-daemon,0,1424,1434,41,1424,1434,1424,34.97560975609756,CFS,cfs_1
1086,wpa_supplicant,0,1296,1300,9,1296,1300,1296,144.44444444444446,CFS,cfs_1
496,kworker/14:2-events,0,23134,23136,10,23134,23136,23134,2313.6,CFS,cfs_1
483,kworker/R-ext4-,0,3802,3802,1,3802,3802,3802,3802.0,CFS,cfs_1
395,scsi_eh_21,0,0,1,2,0,1,0,0.5,FIFO,fifo_1
2022,goa-daemon,0,3307,3378,282,3307,3378,3307,11.97872340425532,CFS,cfs_1
2028,gvfsd-metadata,0,1363,1366,12,1363,1366,1363,113.83333333333333,CFS,cfs_1
6052,systemd-oomd,0,1981,1996,63,1981,1996,1981,31.682539682539684,CFS,cfs_1
5688,kworker/u271:0,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
5506,kworker/u265:1-events_unbound,0,9339,9341,8,9339,9341,9339,1167.625,CFS,cfs_1
413,scsi_eh_30,0,1,2,2,1,2,1,1.0,FIFO,fifo_1
412,kworker/R-scsi_,0,3461,3461,1,3461,3461,3461,3461.0,CFS,cfs_1
411,scsi_eh_29,0,2,3,2,2,3,2,1.5,FIFO,fifo_1
410,kworker/R-scsi_,0,6739,6739,1,6739,6739,6739,6739.0,CFS,cfs_1
409,scsi_eh_28,0,2,4,3,2,4,2,1.3333333333333333,FIFO,fifo_1
408,kworker/R-scsi_,0,3798,3798,1,3798,3798,3798,3798.0,CFS,cfs_1
407,scsi_eh_27,0,3,6,4,3,6,3,1.5,FIFO,fifo_1
1561,packagekitd,0,1576,1586,42,1576,1586,1576,37.76190476190476,CFS,cfs_1
405,scsi_eh_26,0,4,6,3,4,6,4,2.0,FIFO,fifo_1
404,kworker/R-scsi_,0,4511,4511,1,4511,4511,4511,4511.0,CFS,cfs_1
403,scsi_eh_25,0,5,7,3,5,7,5,2.3333333333333335,FIFO,fifo_1
402,kworker/R-scsi_,0,6943,6943,1,6943,6943,6943,6943.0,CFS,cfs_1
401,scsi_eh_24,0,5,7,3,5,7,5,2.3333333333333335,FIFO,fifo_1
400,kworker/R-scsi_,0,3461,3461,1,3461,3461,3461,3461.0,CFS,cfs_1
399,scsi_eh_23,0,7,8,2,7,8,7,4.0,FIFO,fifo_1
398,kworker/R-scsi_,0,4249,4249,1,4249,4249,4249,4249.0,CFS,cfs_1
1954,at-spi-bus-launcher,0,23246,23250,20,23246,23250,23246,1162.5,CFS,cfs_1
396,kworker/R-scsi_,0,4323,4323,1,4323,4323,4323,4323.0,CFS,cfs_1
461,kworker/u264:1-flush-8:0,0,9495,9505,40,9495,9505,9495,237.625,CFS,cfs_1
923,vmtoolsd,0,5348,5569,886,5348,5569,5348,6.285553047404063,CFS,cfs_1
482,jbd2/sda3-8,0,9449,9484,143,9449,9484,9449,66.32167832167832,CFS,cfs_1
488,kworker/u263:2-events_unbound,0,9293,9309,63,9293,9309,9293,147.76190476190476,CFS,cfs_1
824,kworker/R-crypt,0,8122,8122,1,8122,8122,8122,8122.0,CFS,cfs_1
781,kworker/u262:2-writeback,0,9320,9321,6,9320,9321,9320,1553.5,CFS,cfs_1
3058,unattended-upgr,0,9729,22803,52298,9729,22803,9729,0.4360204979157903,CFS,cfs_1
3030,apt.systemd.dai,0,2043,2045,9,2043,2045,2043,227.22222222222223,CFS,cfs_1
3026,apt.systemd.dai,0,1940,1942,6,1940,1942,1940,323.6666666666667,CFS,cfs_1
3017,kworker/u266:0-flush-8:0,0,9257,9257,1,9257,9257,9257,9257.0,CFS,cfs_1
3016,kworker/0:0-events,0,9254,9257,15,9254,9257,9254,617.1333333333333,CFS,cfs_1
3013,kworker/u267:0-events_unbound,0,9334,9336,10,9334,9336,9334,933.6,CFS,cfs_1
2989,kworker/u268:1-flush-8:0,0,23063,23064,6,23063,23064,23063,3844.0,CFS,cfs_1
3278,kworker/2:2-rcu_par_gp,0,7,7,1,7,7,7,7.0,FIFO,fifo_1
2988,kworker/1:0-mm_percpu_wq,0,9558,9563,20,9558,9563,9558,478.15,CFS,cfs_1
8212,kworker/u275:0,0,9342,9342,1,9342,9342,9342,9342.0,CFS,cfs_1
