pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
1718,colord,0,1802,1809,27,1802,1809,1802,67.0,CFS,cfs_1
2005,gnome-shell-calendar-server,0,3441,3458,70,3441,3458,3441,49.4,CFS,cfs_1
1986,kworker/u279:1-ttm,0,9011,9011,1,9011,9011,9011,9011.0,CFS,cfs_1
1985,kworker/u276:3-ttm,0,22708,22708,1,22708,22708,22708,22708.0,CFS,cfs_1
1983,kworker/u283:1-ttm,0,8853,8853,3,8853,8853,8853,2951.0,CFS,cfs_1
1967,kworker/3:3-rcu_par_gp,0,8799,8802,11,8799,8802,8799,800.1818181818181,CFS,cfs_1
1964,dbus-daemon,0,23032,23034,12,23032,23034,23032,1919.5,CFS,cfs_1
1961,gnome-shell,0,5393,6407,4058,5393,6407,5393,1.57885657959586,CFS,cfs_1
1059,cron,0,1520,1522,7,1520,1522,1520,217.42857142857142,CFS,cfs_1
1522,kworker/u276:1-ttm,0,22719,22719,1,22719,22719,22719,22719.0,CFS,cfs_1
1521,kworker/u280:1-ttm,0,8499,8499,1,8499,8499,8499,8499.0,CFS,cfs_1
1356,kerneloops,0,1286,1286,2,1286,1286,1286,643.0,CFS,cfs_1
1347,kerneloops,0,1012,1014,12,1012,1014,1012,84.5,CFS,cfs_1
1332,cups-browsed,0,1033,1036,15,1033,1036,1033,69.06666666666666,CFS,cfs_1
1303,rtkit-daemon,0,1144,1147,11,1144,1147,1144,104.27272727272727,CFS,cfs_1
1204,gdm3,0,1809,1817,32,1809,1817,1809,56.78125,CFS,cfs_1
1084,udisksd,0,1691,1709,74,1691,1709,1691,23.094594594594593,CFS,cfs_1
1082,systemd-logind,0,1242,1260,75,1242,1260,1242,16.8,CFS,cfs_1
1081,switcheroo-control,0,1821,1825,17,1821,1825,1821,107.3529411764706,CFS,cfs_1
1080,snapd,0,1858,2020,651,1858,2020,1858,3.1029185867895546,CFS,cfs_1
1076,rsyslogd,0,1616,1628,49,1616,1628,1616,33.224489795918366,CFS,cfs_1
1075,power-profiles-daemon,0,1070,1073,15,1070,1073,1070,71.53333333333333,CFS,cfs_1
1162,cupsd,0,1291,1296,20,1291,1296,1291,64.8,CFS,cfs_1
1839,gdm-wayland-session,0,1224,1225,5,1224,1225,1224,245.0,CFS,cfs_1
446,kworker/u271:28-writeback,0,8977,8980,12,8977,8980,8977,748.3333333333334,CFS,cfs_1
425,kworker/R-scsi_,0,3474,3474,1,3474,3474,3474,3474.0,CFS,cfs_1
423,scsi_eh_32,0,4132,4132,1,4132,4132,4132,4132.0,CFS,cfs_1
416,kworker/R-scsi_,0,6615,6615,1,6615,6615,6615,6615.0,CFS,cfs_1
415,scsi_eh_31,0,6483,6483,1,6483,6483,6483,6483.0,CFS,cfs_1
414,kworker/R-scsi_,0,3084,3084,1,3084,3084,3084,3084.0,CFS,cfs_1
