pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
346,kworker/u272:1-flush-8:0,0,13924,13931,26,13924,13931,13924,535.8076923076923,CFS,cfs_1
41,migration/4,0,0,228,229,0,228,0,0.9956331877729258,FIFO,fifo_1
348,kworker/13:2-events,0,14275,14288,52,14275,14288,14275,274.7692307692308,CFS,cfs_1
349,kworker/u264:1-writeback,0,16189,16604,1419,16189,16604,16189,11.701198026779423,CFS,cfs_1
358,kworker/R-mpt_p,0,11026,11026,1,11026,11026,11026,11026.0,CFS,cfs_1
359,kworker/R-mpt/0,0,11246,11246,1,11246,11246,11246,11246.0,CFS,cfs_1
360,kworker/u267:1-writeback,0,13844,13848,17,13844,13848,13844,814.5882352941177,CFS,cfs_1
361,scsi_eh_2,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
362,kworker/R-scsi_,0,10891,10891,1,10891,10891,10891,10891.0,CFS,cfs_1
363,scsi_eh_3,0,0,8,9,0,8,0,0.8888888888888888,FIFO,fifo_1
279,kworker/4:1H,0,14572,14573,3,14572,14573,14572,4857.666666666667,CFS,cfs_1
312,kworker/10:1H-kblockd,0,13875,13908,130,13875,13908,13875,106.98461538461538,CFS,cfs_1
317,kworker/12:1H-kblockd,0,15020,15023,15,15020,15023,15020,1001.5333333333333,CFS,cfs_1
151,kworker/R-md_bi,0,1093,1093,1,1093,1093,1093,1093.0,CFS,cfs_1
321,kworker/13:1H-kblockd,0,14166,14202,143,14166,14202,14166,99.31468531468532,CFS,cfs_1
324,kworker/3:1H-kblockd,0,14370,14450,322,14370,14450,14370,44.87577639751553,CFS,cfs_1
40,idle_inject/4,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
347,kworker/u256:1-ext4-rsv-conversion,0,13761,13825,257,13761,13825,13761,53.793774319066145,CFS,cfs_1
7,kworker/R-netns,0,1570,1570,1,1570,1570,1570,1570.0,CFS,cfs_1
8,kworker/0:0-mm_percpu_wq,0,15505,15520,61,15505,15520,15505,254.4262295081967,CFS,cfs_1
9,kworker/0:0H-events_highpri,0,14767,14767,2,14767,14767,14767,7383.5,CFS,cfs_1
12,kworker/R-mm_pe,0,4084,4085,3,4084,4085,4084,1361.6666666666667,CFS,cfs_1
13,rcu_tasks_kthread,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
14,rcu_tasks_rude_kthread,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
15,rcu_tasks_trace_kthread,0,9800,9801,4,9800,9801,9800,2450.25,CFS,cfs_1
16,ksoftirqd/0,0,15622,15623,6,15622,15623,15622,2603.8333333333335,CFS,cfs_1
34,idle_inject/3,0,2,2,1,2,2,2,2.0,FIFO,fifo_1
149,kworker/R-ata_s,0,1099,1099,1,1099,1099,1099,1099.0,CFS,cfs_1
33,cpuhp/3,0,2,2,1,2,2,2,2.0,FIFO,fifo_1
396,scsi_eh_19,0,11319,11319,1,11319,11319,11319,11319.0,CFS,cfs_1
3,pool_workqueue_release,0,3,3,1,3,3,3,3.0,FIFO,fifo_1
384,scsi_eh_13,0,3,6,4,3,6,3,1.5,FIFO,fifo_1
385,kworker/R-scsi_,0,10802,10802,1,10802,10802,10802,10802.0,CFS,cfs_1
386,scsi_eh_14,0,9953,9955,9,9953,9955,9953,1106.111111111111,CFS,cfs_1
387,kworker/R-scsi_,0,11010,11010,1,11010,11010,11010,11010.0,CFS,cfs_1
388,scsi_eh_15,0,4,9,6,4,9,4,1.5,FIFO,fifo_1
389,kworker/R-scsi_,0,11317,11317,1,11317,11317,11317,11317.0,CFS,cfs_1
390,scsi_eh_16,0,7,14,8,7,14,7,1.75,FIFO,fifo_1
391,kworker/R-scsi_,0,11324,11324,1,11324,11324,11324,11324.0,CFS,cfs_1
392,scsi_eh_17,0,10802,10802,1,10802,10802,10802,10802.0,CFS,cfs_1
377,scsi_eh_10,0,9,17,9,9,17,9,1.8888888888888888,FIFO,fifo_1
378,kworker/R-scsi_,0,11318,11318,1,11318,11318,11318,11318.0,CFS,cfs_1
379,scsi_eh_11,0,11320,11322,9,11320,11322,11320,1258.0,CFS,cfs_1
380,kworker/R-scsi_,0,11026,11026,1,11026,11026,11026,11026.0,CFS,cfs_1
381,scsi_eh_12,0,11247,11249,9,11247,11249,11247,1249.888888888889,CFS,cfs_1
382,kworker/R-scsi_,0,11027,11027,1,11027,11027,11027,11027.0,CFS,cfs_1
383,kworker/u271:2-flush-8:0,0,13654,13677,95,13654,13677,13654,143.96842105263158,CFS,cfs_1
4,kworker/R-rcu_g,0,1190,1190,1,1190,1190,1190,1190.0,CFS,cfs_1
42,ksoftirqd/4,0,14817,14819,11,14817,14819,14817,1347.1818181818182,CFS,cfs_1
45,cpuhp/5,0,10,11,2,10,11,10,5.5,FIFO,fifo_1
46,idle_inject/5,0,12,12,1,12,12,12,12.0,FIFO,fifo_1
47,migration/5,0,13,241,229,13,241,13,1.0524017467248907,FIFO,fifo_1
48,ksoftirqd/5,0,16110,16113,6,16110,16113,16110,2685.5,CFS,cfs_1
50,kworker/5:0H-kblockd,0,16110,16371,348,16110,16371,16110,47.043103448275865,CFS,cfs_1
51,cpuhp/6,0,15,15,1,15,15,15,15.0,FIFO,fifo_1
52,idle_inject/6,0,16,16,1,16,16,16,16.0,FIFO,fifo_1
