pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
346,kworker/u272:1-flush-8:0,0,13917,13924,26,13917,13924,13917,535.5384615384615,CFS,cfs_1
41,migration/4,0,0,228,229,0,228,0,0.9956331877729258,FIFO,fifo_1
348,kworker/13:2-events,0,14268,14281,52,14268,14281,14268,274.63461538461536,CFS,cfs_1
349,kworker/u264:1-writeback,0,16193,16601,1419,16193,16601,16193,11.69908386187456,CFS,cfs_1
358,kworker/R-mpt_p,0,10770,10770,1,10770,10770,10770,10770.0,CFS,cfs_1
359,kworker/R-mpt/0,0,10998,10998,1,10998,10998,10998,10998.0,CFS,cfs_1
360,kworker/u267:1-writeback,0,13836,13840,17,13836,13840,13836,814.1176470588235,CFS,cfs_1
361,scsi_eh_2,0,9545,9545,1,9545,9545,9545,9545.0,CFS,cfs_1
362,kworker/R-scsi_,0,10631,10631,1,10631,10631,10631,10631.0,CFS,cfs_1
363,scsi_eh_3,0,11487,11489,9,11487,11489,11487,1276.5555555555557,CFS,cfs_1
279,kworker/4:1H,0,14566,14567,3,14566,14567,14566,4855.666666666667,CFS,cfs_1
312,kworker/10:1H-kblockd,0,13868,13900,130,13868,13900,13868,106.92307692307692,CFS,cfs_1
317,kworker/12:1H-kblockd,0,15016,15019,15,15016,15019,15016,1001.2666666666667,CFS,cfs_1
151,kworker/R-md_bi,0,989,989,1,989,989,989,989.0,CFS,cfs_1
321,kworker/13:1H-kblockd,0,14160,14195,143,14160,14195,14160,99.26573426573427,CFS,cfs_1
324,kworker/3:1H-kblockd,0,14364,14444,322,14364,14444,14364,44.857142857142854,CFS,cfs_1
40,idle_inject/4,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
347,kworker/u256:1-ext4-rsv-conversion,0,13754,13818,257,13754,13818,13754,53.766536964980546,CFS,cfs_1
7,kworker/R-netns,0,1303,1303,1,1303,1303,1303,1303.0,CFS,cfs_1
8,kworker/0:0-mm_percpu_wq,0,15501,15516,61,15501,15516,15501,254.36065573770492,CFS,cfs_1
9,kworker/0:0H-events_highpri,0,14763,14763,2,14763,14763,14763,7381.5,CFS,cfs_1
12,kworker/R-mm_pe,0,3826,3827,3,3826,3827,3826,1275.6666666666667,CFS,cfs_1
13,rcu_tasks_kthread,0,1582,1582,1,1582,1582,1582,1582.0,CFS,cfs_1
14,rcu_tasks_rude_kthread,0,1582,1582,1,1582,1582,1582,1582.0,CFS,cfs_1
15,rcu_tasks_trace_kthread,0,9544,9545,4,9544,9545,9544,2386.25,CFS,cfs_1
16,ksoftirqd/0,0,15618,15620,6,15618,15620,15618,2603.3333333333335,CFS,cfs_1
34,idle_inject/3,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
149,kworker/R-ata_s,0,994,994,1,994,994,994,994.0,CFS,cfs_1
33,cpuhp/3,0,11151,11151,1,11151,11151,11151,11151.0,CFS,cfs_1
396,scsi_eh_19,0,11076,11076,1,11076,11076,11076,11076.0,CFS,cfs_1
3,pool_workqueue_release,0,9544,9544,1,9544,9544,9544,9544.0,CFS,cfs_1
384,scsi_eh_13,0,10777,10778,4,10777,10778,10777,2694.5,CFS,cfs_1
385,kworker/R-scsi_,0,10546,10546,1,10546,10546,10546,10546.0,CFS,cfs_1
386,scsi_eh_14,0,9698,9700,9,9698,9700,9698,1077.7777777777778,CFS,cfs_1
387,kworker/R-scsi_,0,10745,10745,1,10745,10745,10745,10745.0,CFS,cfs_1
