Workload,Metric,Baseline_Mean,AI_Mean,Mean_Diff,Cohen_d,Paired_ttest_p,Wilcoxon_p,95%CI_low,95%CI_high
cpu_workload,turnaround,11044.208067940552,9069.182590233546,1975.0254777070063,0.3583088277229799,1.5044519671236926e-26,1.412108791249918e-13,1630.265950106157,2330.0186836518046
cpu_workload,response,11002.099787685775,9027.004246284501,1975.095541401274,0.35830272585294287,1.507222409173374e-26,3.192031692060308e-13,1613.4604033970277,2360.5154458598727
io_workload,turnaround,235751.32754880693,197340.83731019523,38410.49023861171,0.2646843321219804,3.8410836567366444e-22,1.8783659434228278e-56,31041.424638467102,46101.52147505422
io_workload,response,235288.61388286334,196877.97758496023,38410.63629790311,0.26468502894840856,3.8401589258158846e-22,2.260142312262503e-56,31374.883333333335,46084.538973246556
batch_workload,turnaround,71601.53395061729,50828.56172839506,20772.972222222223,0.3781756055503849,4.411457192441597e-30,0.03826979599961789,17378.965200617284,23977.230504115225
batch_workload,response,71114.41769547325,50335.50205761317,20778.915637860082,0.37828675608165596,4.25547959928914e-30,0.060301690249793906,17451.493209876546,24290.062962962962
real_time_workload,turnaround,10412.886975242196,6640.259418729817,3772.6275565123788,0.7227964694305818,7.530243077336377e-87,8.25291296970752e-10,3432.386329386437,4112.783772874058
real_time_workload,response,10384.114101184068,6610.781485468246,3773.3326157158235,0.7228470916924803,7.363699200825894e-87,7.927440994187917e-10,3412.5443756727664,4084.8468783638323
stress_workload,turnaround,254771.75864661654,186110.75789473683,68661.0007518797,0.38471102096233256,8.367397569315547e-42,0.2569436037289373,58988.09962406015,77818.06462406016
stress_workload,response,252713.1857142857,184041.65112781955,68671.53458646616,0.38477500898195827,8.130977896667358e-42,0.1383822427905539,59455.917518796996,78153.18979323309
mixed_realistic_workload,turnaround,13337.83944580277,9749.650366748167,3588.189079054605,0.4321442629223671,1.3837337461512673e-47,0.008462751449922127,3148.002893235534,4080.583109209454
mixed_realistic_workload,response,13308.301548492258,9718.067644661776,3590.233903830481,0.43234357334619145,1.265346633049312e-47,0.009524598601559332,3142.505501222494,4078.346760391198
