pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
72,ksoftirqd/9,0,573674,573689,61,573674,573689,573674,9404.737704918032,CFS,cfs_1
2,kthreadd,0,565785,565796,42,565785,565796,565785,13471.333333333334,CFS,cfs_1
1787,pipewire-media-session,0,8957,9518,2242,8957,9518,8957,4.245316681534344,CFS,cfs_1
673,kworker/u265:2-events_power_efficient,0,42258,43406,4596,42258,43406,42258,9.444299390774587,CFS,cfs_1
714,irq/57-vmw_vmci,0,0,39,40,0,39,0,0.975,FIFO,fifo_1
716,irq/58-vmw_vmci,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
717,irq/59-vmw_vmci,0,0,12,13,0,12,0,0.9230769230769231,FIFO,fifo_1
65,migration/8,0,0,275,276,0,275,0,0.9963768115942029,FIFO,fifo_1
69,cpuhp/9,0,19154,19155,5,19154,19155,19154,3831.0,CFS,cfs_1
70,idle_inject/9,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
71,migration/9,0,2,272,271,2,272,2,1.003690036900369,FIFO,fifo_1
216,kworker/R-ipv6_,0,2172,2172,1,2172,2172,2172,2172.0,CFS,cfs_1
73,kworker/9:0-rcu_par_gp,0,570659,570874,860,570659,570874,570659,663.806976744186,CFS,cfs_1
75,cpuhp/10,0,19151,19151,3,19151,19151,19151,6383.666666666667,CFS,cfs_1
76,idle_inject/10,0,13,13,1,13,13,13,13.0,FIFO,fifo_1
56,kworker/6:0H-events_highpri,0,567636,567637,6,567636,567637,567636,94606.16666666667,CFS,cfs_1
57,cpuhp/7,0,24477,24477,2,24477,24477,24477,12238.5,CFS,cfs_1
58,idle_inject/7,0,14,14,1,14,14,14,14.0,FIFO,fifo_1
59,migration/7,0,15,289,275,15,289,15,1.050909090909091,FIFO,fifo_1
60,ksoftirqd/7,0,572278,572293,62,572278,572293,572278,9230.532258064517,CFS,cfs_1
63,cpuhp/8,0,40,40,1,40,40,40,40.0,FIFO,fifo_1
20,cpuhp/0,0,19153,19153,2,19153,19153,19153,9576.5,CFS,cfs_1
84,ksoftirqd/11,0,575168,575177,36,575168,575177,575168,15977.138888888889,CFS,cfs_1
87,cpuhp/12,0,19152,19152,2,19152,19152,19152,9576.0,CFS,cfs_1
51,cpuhp/6,0,24472,24472,1,24472,24472,24472,24472.0,CFS,cfs_1
13,rcu_tasks_kthread,0,41,41,1,41,41,41,41.0,FIFO,fifo_1
15,rcu_tasks_trace_kthread,0,10218,10219,4,10218,10219,10218,2554.75,CFS,cfs_1
16,ksoftirqd/0,0,567608,567616,34,567608,567616,567608,16694.58823529412,CFS,cfs_1
17,rcu_preempt,0,570927,571590,2652,570927,571590,570927,215.5316742081448,CFS,cfs_1
18,migration/0,0,42,89,48,42,89,42,1.8541666666666667,FIFO,fifo_1
3854,kworker/u285:4-ttm,0,574756,574756,1,574756,574756,574756,574756.0,CFS,cfs_1
64,idle_inject/8,0,90,90,1,90,90,90,90.0,FIFO,fifo_1
724,kworker/8:2-events,0,567905,567942,151,567905,567942,567905,3761.205298013245,CFS,cfs_1
773,kworker/u259:3-events_power_efficient,0,42243,42250,30,42243,42250,42243,1408.3333333333333,CFS,cfs_1
791,kworker/u263:4-events_unbound,0,562302,562347,181,562302,562347,562302,3106.8895027624308,CFS,cfs_1
793,kworker/u263:5-events_power_efficient,0,574925,575041,468,574925,575041,574925,1228.7200854700855,CFS,cfs_1
828,kworker/R-crypt,0,24473,24473,1,24473,24473,24473,24473.0,CFS,cfs_1
936,systemd-oomd,0,7860,8201,1365,7860,8201,7860,6.008058608058608,CFS,cfs_1
940,kworker/11:3-mm_percpu_wq,0,575102,575107,22,575102,575107,575102,26141.227272727272,CFS,cfs_1
941,systemd-resolved,0,5893,5948,223,5893,5948,5893,26.672645739910315,CFS,cfs_1
66,ksoftirqd/8,0,567896,567904,35,567896,567904,567896,16225.828571428572,CFS,cfs_1
613,kworker/R-ttm,0,24629,24630,2,24629,24630,24629,12315.0,CFS,cfs_1
452,kworker/u266:29-events_power_efficient,0,42252,42257,22,42252,42257,42252,1920.7727272727273,CFS,cfs_1
456,kworker/u262:2-events_power_efficient,0,571590,571600,41,571590,571600,571590,13941.463414634147,CFS,cfs_1
463,kworker/u268:1-events_unbound,0,575107,575163,223,575107,575163,575107,2579.2062780269057,CFS,cfs_1
218,kworker/2:2-events,0,572698,572704,25,572698,572704,572698,22908.16,CFS,cfs_1
467,kworker/u270:2-events_power_efficient,0,42236,42243,28,42236,42243,42236,1508.6785714285713,CFS,cfs_1
942,systemd-timesyncd,0,2438,2481,172,2438,2481,2438,14.424418604651162,CFS,cfs_1
947,VGAuthService,0,6483,6497,57,6483,6497,6483,113.98245614035088,CFS,cfs_1
