pid,name,arrival,first_start,completion,execution_time,waiting,turnaround,response,stretch,scheduler,subqueue
72,ksoftirqd/9,0,573481,573496,61,573481,573496,573481,9401.573770491803,CFS,cfs_1
2,kthreadd,0,565538,565548,42,565538,565548,565538,13465.42857142857,CFS,cfs_1
1787,pipewire-media-session,0,8173,8733,2242,8173,8733,8173,3.8951828724353255,CFS,cfs_1
673,kworker/u265:2-events_power_efficient,0,42008,43157,4596,42008,43157,42008,9.39012184508268,CFS,cfs_1
714,irq/57-vmw_vmci,0,0,39,40,0,39,0,0.975,FIFO,fifo_1
716,irq/58-vmw_vmci,0,0,0,1,0,0,0,0.0,FIFO,fifo_1
717,irq/59-vmw_vmci,0,0,12,13,0,12,0,0.9230769230769231,FIFO,fifo_1
65,migration/8,0,0,275,276,0,275,0,0.9963768115942029,FIFO,fifo_1
69,cpuhp/9,0,18423,18424,5,18423,18424,18423,3684.8,CFS,cfs_1
70,idle_inject/9,0,1,1,1,1,1,1,1.0,FIFO,fifo_1
71,migration/9,0,2,272,271,2,272,2,1.003690036900369,FIFO,fifo_1
216,kworker/R-ipv6_,0,1346,1346,1,1346,1346,1346,1346.0,CFS,cfs_1
73,kworker/9:0-rcu_par_gp,0,570431,570646,860,570431,570646,570431,663.5418604651163,CFS,cfs_1
75,cpuhp/10,0,18420,18420,3,18420,18420,18420,6140.0,CFS,cfs_1
76,idle_inject/10,0,13,13,1,13,13,13,13.0,FIFO,fifo_1
56,kworker/6:0H-events_highpri,0,567389,567390,6,567389,567390,567389,94565.0,CFS,cfs_1
57,cpuhp/7,0,23746,23746,2,23746,23746,23746,11873.0,CFS,cfs_1
58,idle_inject/7,0,14,14,1,14,14,14,14.0,FIFO,fifo_1
59,migration/7,0,15,289,275,15,289,15,1.050909090909091,FIFO,fifo_1
60,ksoftirqd/7,0,572057,572072,62,572057,572072,572057,9226.967741935483,CFS,cfs_1
63,cpuhp/8,0,18420,18420,1,18420,18420,18420,18420.0,CFS,cfs_1
20,cpuhp/0,0,18422,18422,2,18422,18422,18422,9211.0,CFS,cfs_1
84,ksoftirqd/11,0,574996,575005,36,574996,575005,574996,15972.361111111111,CFS,cfs_1
87,cpuhp/12,0,18421,18421,2,18421,18421,18421,9210.5,CFS,cfs_1
51,cpuhp/6,0,23741,23741,1,23741,23741,23741,23741.0,CFS,cfs_1
13,rcu_tasks_kthread,0,1312,1312,1,1312,1312,1312,1312.0,CFS,cfs_1
15,rcu_tasks_trace_kthread,0,9437,9438,4,9437,9438,9437,2359.5,CFS,cfs_1
16,ksoftirqd/0,0,567361,567369,34,567361,567369,567361,16687.323529411766,CFS,cfs_1
17,rcu_preempt,0,570699,571362,2652,570699,571362,570699,215.44570135746605,CFS,cfs_1
18,migration/0,0,40,87,48,40,87,40,1.8125,FIFO,fifo_1
3854,kworker/u285:4-ttm,0,574562,574562,1,574562,574562,574562,574562.0,CFS,cfs_1
64,idle_inject/8,0,88,88,1,88,88,88,88.0,FIFO,fifo_1
724,kworker/8:2-events,0,567672,567709,151,567672,567709,567672,3759.662251655629,CFS,cfs_1
773,kworker/u259:3-events_power_efficient,0,41993,42001,30,41993,42001,41993,1400.0333333333333,CFS,cfs_1
791,kworker/u263:4-events_unbound,0,562052,562097,181,562052,562097,562052,3105.508287292818,CFS,cfs_1
793,kworker/u263:5-events_power_efficient,0,574731,574848,468,574731,574848,574731,1228.3076923076924,CFS,cfs_1
828,kworker/R-crypt,0,23742,23742,1,23742,23742,23742,23742.0,CFS,cfs_1
936,systemd-oomd,0,7044,7385,1365,7044,7385,7044,5.410256410256411,CFS,cfs_1
940,kworker/11:3-mm_percpu_wq,0,574923,574928,22,574923,574928,574923,26133.090909090908,CFS,cfs_1
941,systemd-resolved,0,5077,5132,223,5077,5132,5077,23.013452914798208,CFS,cfs_1
66,ksoftirqd/8,0,567663,567671,35,567663,567671,567663,16219.171428571428,CFS,cfs_1
613,kworker/R-ttm,0,23898,23899,2,23898,23899,23898,11949.5,CFS,cfs_1
452,kworker/u266:29-events_power_efficient,0,42002,42007,22,42002,42007,42002,1909.409090909091,CFS,cfs_1
456,kworker/u262:2-events_power_efficient,0,571362,571372,41,571362,571372,571362,13935.90243902439,CFS,cfs_1
463,kworker/u268:1-events_unbound,0,574935,574990,223,574935,574990,574935,2578.4304932735427,CFS,cfs_1
218,kworker/2:2-events,0,572482,572488,25,572482,572488,572482,22899.52,CFS,cfs_1
467,kworker/u270:2-events_power_efficient,0,41986,41993,28,41986,41993,41986,1499.75,CFS,cfs_1
942,systemd-timesyncd,0,1613,1655,172,1613,1655,1613,9.622093023255815,CFS,cfs_1
947,VGAuthService,0,5667,5681,57,5667,5681,5667,99.66666666666667,CFS,cfs_1
949,vmtoolsd,0,13951,18418,17870,13951,18418,13951,1.0306659205372133,CFS,cfs_1
668,kworker/u270:3-events_unbound,0,563508,563570,246,563508,563570,563508,2290.9349593495936,CFS,cfs_1
423,kworker/R-scsi_,0,12730,12730,1,12730,12730,12730,12730.0,CFS,cfs_1
612,irq/16-vmwgfx,0,89,288,200,89,288,89,1.44,FIFO,fifo_1
611,systemd-udevd,0,9943,10099,624,9943,10099,9943,16.184294871794872,CFS,cfs_1
420,scsi_eh_31,0,13950,13950,2,13950,13950,13950,6975.0,CFS,cfs_1
1026,switcheroo-control,0,4013,4021,18,4013,4021,4013,223.38888888888889,CFS,cfs_1
1031,systemd-logind,0,2864,2975,313,2864,2975,2864,9.504792332268371,CFS,cfs_1
1035,udisksd,0,2575,2652,308,2575,2652,2575,8.61038961038961,CFS,cfs_1
1036,wpa_supplicant,0,1368,1540,688,1368,1540,1368,2.238372093023256,CFS,cfs_1
1048,avahi-daemon,0,1135,1135,1,1135,1135,1135,1135.0,CFS,cfs_1
1110,ModemManager,0,2121,2535,1655,2121,2535,2121,1.5317220543806647,CFS,cfs_1
504,kworker/R-ext4-,0,23899,23899,1,23899,23899,23899,23899.0,CFS,cfs_1
53,migration/6,0,273,540,268,273,540,273,2.014925373134328,FIFO,fifo_1
419,kworker/R-scsi_,0,12152,12152,1,12152,12152,12152,12152.0,CFS,cfs_1
953,kworker/2:2H-kblockd,0,567387,567388,6,567387,567388,567387,94564.66666666667,CFS,cfs_1
998,acpid,0,1312,1326,55,1312,1326,1312,24.10909090909091,CFS,cfs_1
1179,dbus,0,1576,1577,5,1576,1577,1576,315.4,CFS,cfs_1
1227,cups-browsed,0,4600,4615,63,4600,4615,4600,73.25396825396825,CFS,cfs_1
1243,kerneloops,0,1127,1131,11,1127,1131,1127,102.81818181818181,CFS,cfs_1
1254,kerneloops,0,1122,1127,15,1122,1127,1122,75.13333333333334,CFS,cfs_1
1325,rtkit-daemon,0,1251,1256,22,1251,1256,1251,57.09090909090909,CFS,cfs_1
83,migration/11,0,276,550,275,276,550,276,2.0,FIFO,fifo_1
543,systemd-journald,0,5923,6650,2886,5923,6650,5923,2.3042273042273043,CFS,cfs_1
577,vmware-vmblock-fuse,0,1131,1136,15,1131,1136,1131,75.73333333333333,CFS,cfs_1
583,kworker/9:2-events,0,573496,573519,94,573496,573519,573496,6101.265957446809,CFS,cfs_1
584,kworker/7:3-events,0,567726,567746,42,567726,567746,567726,13517.761904761905,CFS,cfs_1
594,kworker/u272:2-flush-8:0,0,565041,565536,1980,565041,565536,565041,285.6242424242424,CFS,cfs_1
603,kworker/u261:2-flush-8:0,0,562113,562351,952,562113,562351,562113,590.7048319327731,CFS,cfs_1
503,jbd2/sda3-8,0,573519,574442,3692,573519,574442,573519,155.59100758396534,CFS,cfs_1
421,kworker/R-scsi_,0,13943,13943,1,13943,13943,13943,13943.0,CFS,cfs_1
422,scsi_eh_32,0,13947,13949,7,13947,13949,13947,1992.7142857142858,CFS,cfs_1
4,kworker/R-rcu_g,0,1251,1251,1,1251,1251,1251,1251.0,CFS,cfs_1
190,irq/51-pciehp,0,289,289,1,289,289,289,289.0,FIFO,fifo_1
191,irq/52-pciehp,0,290,292,3,290,292,290,97.33333333333333,FIFO,fifo_1
